antibody,binds
1-57,Omicron BA.2/BA.5
1-57,Wuhan-Hu-1
2-15,Omicron BA.2/BA.5
2-15,Wuhan-Hu-1
7D6,Omicron BA.2/BA.5
7D6,Wuhan-Hu-1
ADG-2,Omicron BA.2/BA.5
ADG-2,Wuhan-Hu-1
B38,Omicron BA.2/BA.5
B38,Wuhan-Hu-1
BD-196,Omicron BA.2/BA.5
BD-196,Wuhan-Hu-1
BD-218,Omicron BA.2/BA.5
BD-218,Wuhan-Hu-1
BD-236,Omicron BA.2/BA.5
BD-236,Wuhan-Hu-1
BD-254,Omicron BA.2/BA.5
BD-254,Wuhan-Hu-1
BD-255,Omicron BA.2/BA.5
BD-255,Wuhan-Hu-1
BD-319,Omicron BA.2/BA.5
BD-319,Wuhan-Hu-1
BD-320,Omicron BA.2/BA.5
BD-320,Wuhan-Hu-1
BD-362,Omicron BA.2/BA.5
BD-362,Wuhan-Hu-1
BD-368,Omicron BA.2/BA.5
BD-368,Wuhan-Hu-1
BD-369,Omicron BA.2/BA.5
BD-369,Wuhan-Hu-1
BD-380,Omicron BA.2/BA.5
BD-380,Wuhan-Hu-1
BD-395,Omicron BA.2/BA.5
BD-395,Wuhan-Hu-1
BD-397,Omicron BA.2/BA.5
BD-397,Wuhan-Hu-1
BD-403,Omicron BA.2/BA.5
BD-403,Wuhan-Hu-1
BD-417,Omicron BA.2/BA.5
BD-417,Wuhan-Hu-1
BD-418,Omicron BA.2/BA.5
BD-418,Wuhan-Hu-1
BD-421,Omicron BA.2/BA.5
BD-421,Wuhan-Hu-1
BD-449,Omicron BA.2/BA.5
BD-449,Wuhan-Hu-1
BD-467,Omicron BA.2/BA.5
BD-467,Wuhan-Hu-1
BD-494,Omicron BA.2/BA.5
BD-494,Wuhan-Hu-1
BD-498,Omicron BA.2/BA.5
BD-498,Wuhan-Hu-1
BD-500,Omicron BA.2/BA.5
BD-500,Wuhan-Hu-1
BD-503,Omicron BA.2/BA.5
BD-503,Wuhan-Hu-1
BD-504,Omicron BA.2/BA.5
BD-504,Wuhan-Hu-1
BD-505,Omicron BA.2/BA.5
BD-505,Wuhan-Hu-1
BD-507,Omicron BA.2/BA.5
BD-507,Wuhan-Hu-1
BD-508,Omicron BA.2/BA.5
BD-508,Wuhan-Hu-1
BD-515,Omicron BA.2/BA.5
BD-515,Wuhan-Hu-1
BD-536,Omicron BA.2/BA.5
BD-536,Wuhan-Hu-1
BD-566,Omicron BA.2/BA.5
BD-566,Wuhan-Hu-1
BD-598,Omicron BA.2/BA.5
BD-598,Wuhan-Hu-1
BD-599,Omicron BA.2/BA.5
BD-599,Wuhan-Hu-1
BD-605,Omicron BA.2/BA.5
BD-605,Wuhan-Hu-1
BD-612,Omicron BA.2/BA.5
BD-612,Wuhan-Hu-1
BD-613,Omicron BA.2/BA.5
BD-613,Wuhan-Hu-1
BD-614,Omicron BA.2/BA.5
BD-614,Wuhan-Hu-1
BD-616,Omicron BA.2/BA.5
BD-616,Wuhan-Hu-1
BD-618,Omicron BA.2/BA.5
BD-618,Wuhan-Hu-1
BD-619,Omicron BA.2/BA.5
BD-619,Wuhan-Hu-1
BD-623,Omicron BA.2/BA.5
BD-623,Wuhan-Hu-1
BD-628,Omicron BA.2/BA.5
BD-628,Wuhan-Hu-1
BD-629,Omicron BA.2/BA.5
BD-629,Wuhan-Hu-1
BD-643,Omicron BA.2/BA.5
BD-643,Wuhan-Hu-1
BD-667,Omicron BA.2/BA.5
BD-667,Wuhan-Hu-1
BD-670,Omicron BA.2/BA.5
BD-670,Wuhan-Hu-1
BD-692,Omicron BA.2/BA.5
BD-692,Wuhan-Hu-1
BD-693,Omicron BA.2/BA.5
BD-693,Wuhan-Hu-1
BD-694,Omicron BA.2/BA.5
BD-694,Wuhan-Hu-1
BD-695,Omicron BA.2/BA.5
BD-695,Wuhan-Hu-1
BD-702,Omicron BA.2/BA.5
BD-702,Wuhan-Hu-1
BD-708,Omicron BA.2/BA.5
BD-708,Wuhan-Hu-1
BD-713,Omicron BA.2/BA.5
BD-713,Wuhan-Hu-1
BD-715,Omicron BA.2/BA.5
BD-715,Wuhan-Hu-1
BD-725,Omicron BA.2/BA.5
BD-725,Wuhan-Hu-1
BD-732,Omicron BA.2/BA.5
BD-732,Wuhan-Hu-1
BD-739,Omicron BA.2/BA.5
BD-739,Wuhan-Hu-1
BD-743,Omicron BA.2/BA.5
BD-743,Wuhan-Hu-1
BD-744,Omicron BA.2/BA.5
BD-744,Wuhan-Hu-1
BD-748,Omicron BA.2/BA.5
BD-748,Wuhan-Hu-1
BD-751,Omicron BA.2/BA.5
BD-751,Wuhan-Hu-1
BD-755,Omicron BA.2/BA.5
BD-755,Wuhan-Hu-1
BD-756,Omicron BA.2/BA.5
BD-756,Wuhan-Hu-1
BD-758,Omicron BA.2/BA.5
BD-758,Wuhan-Hu-1
BD-767,Omicron BA.2/BA.5
BD-767,Wuhan-Hu-1
BD-771,Omicron BA.2/BA.5
BD-771,Wuhan-Hu-1
BD-778,Omicron BA.2/BA.5
BD-778,Wuhan-Hu-1
BD-790,Omicron BA.2/BA.5
BD-790,Wuhan-Hu-1
BD-791,Omicron BA.2/BA.5
BD-791,Wuhan-Hu-1
BD-796,Omicron BA.2/BA.5
BD-796,Wuhan-Hu-1
BD-801,Omicron BA.2/BA.5
BD-801,Wuhan-Hu-1
BD-804,Omicron BA.2/BA.5
BD-804,Wuhan-Hu-1
BD-805,Omicron BA.2/BA.5
BD-805,Wuhan-Hu-1
BD-807,Omicron BA.2/BA.5
BD-807,Wuhan-Hu-1
BD-809,Omicron BA.2/BA.5
BD-809,Wuhan-Hu-1
BD-812,Omicron BA.2/BA.5
BD-812,Wuhan-Hu-1
BD-813,Omicron BA.2/BA.5
BD-813,Wuhan-Hu-1
BD-815,Omicron BA.2/BA.5
BD-815,Wuhan-Hu-1
BD-817,Omicron BA.2/BA.5
BD-817,Wuhan-Hu-1
BD-818,Omicron BA.2/BA.5
BD-818,Wuhan-Hu-1
BD-819,Omicron BA.2/BA.5
BD-819,Wuhan-Hu-1
BD-821,Omicron BA.2/BA.5
BD-821,Wuhan-Hu-1
BD-822,Omicron BA.2/BA.5
BD-822,Wuhan-Hu-1
BD-824,Omicron BA.2/BA.5
BD-824,Wuhan-Hu-1
BD-826,Omicron BA.2/BA.5
BD-826,Wuhan-Hu-1
BD-827,Omicron BA.2/BA.5
BD-827,Wuhan-Hu-1
BD-828,Omicron BA.2/BA.5
BD-828,Wuhan-Hu-1
BD-833,Omicron BA.2/BA.5
BD-833,Wuhan-Hu-1
BD-835,Omicron BA.2/BA.5
BD-835,Wuhan-Hu-1
BD-836,Omicron BA.2/BA.5
BD-836,Wuhan-Hu-1
BD-837,Omicron BA.2/BA.5
BD-837,Wuhan-Hu-1
BD-843,Omicron BA.2/BA.5
BD-843,Wuhan-Hu-1
BD-846,Omicron BA.2/BA.5
BD-846,Wuhan-Hu-1
BD-849,Omicron BA.2/BA.5
BD-849,Wuhan-Hu-1
BD-863,Omicron BA.2/BA.5
BD-863,Wuhan-Hu-1
BD-864,Omicron BA.2/BA.5
BD-864,Wuhan-Hu-1
BD-870,Omicron BA.2/BA.5
BD-870,Wuhan-Hu-1
BD-897,Omicron BA.2/BA.5
BD-897,Wuhan-Hu-1
BD-898,Omicron BA.2/BA.5
BD-898,Wuhan-Hu-1
BD-899,Omicron BA.2/BA.5
BD-899,Wuhan-Hu-1
BD-900,Omicron BA.2/BA.5
BD-900,Wuhan-Hu-1
BD-901,Omicron BA.2/BA.5
BD-901,Wuhan-Hu-1
BD-904,Omicron BA.2/BA.5
BD-904,Wuhan-Hu-1
BD-906,Omicron BA.2/BA.5
BD-906,Wuhan-Hu-1
BD-907,Omicron BA.2/BA.5
BD-907,Wuhan-Hu-1
BD-912,Omicron BA.2/BA.5
BD-912,Wuhan-Hu-1
BD-913,Omicron BA.2/BA.5
BD-913,Wuhan-Hu-1
BD-914,Omicron BA.2/BA.5
BD-914,Wuhan-Hu-1
BD-915,Omicron BA.2/BA.5
BD-915,Wuhan-Hu-1
BD-916,Omicron BA.2/BA.5
BD-916,Wuhan-Hu-1
BD-917,Omicron BA.2/BA.5
BD-917,Wuhan-Hu-1
BD-918,Omicron BA.2/BA.5
BD-918,Wuhan-Hu-1
BD-922,Omicron BA.2/BA.5
BD-922,Wuhan-Hu-1
BD-923,Omicron BA.2/BA.5
BD-923,Wuhan-Hu-1
BD30-604,Wuhan-Hu-1
BD45-105,Wuhan-Hu-1
BD45-145,Wuhan-Hu-1
BD45-147,Wuhan-Hu-1
BD45-152,Wuhan-Hu-1
BD45-158,Wuhan-Hu-1
BD45-21,Wuhan-Hu-1
BD45-228,Wuhan-Hu-1
BD45-231,Wuhan-Hu-1
BD45-277,Wuhan-Hu-1
BD45-70,Wuhan-Hu-1
BD55-1004,Omicron BA.2/BA.5
BD55-1004,Wuhan-Hu-1
BD55-1009,Omicron BA.2/BA.5
BD55-1009,Wuhan-Hu-1
BD55-1027,Omicron BA.2/BA.5
BD55-1027,Wuhan-Hu-1
BD55-1028,Omicron BA.2/BA.5
BD55-1028,Wuhan-Hu-1
BD55-1029,Omicron BA.2/BA.5
BD55-1029,Wuhan-Hu-1
BD55-1034,Omicron BA.2/BA.5
BD55-1034,Wuhan-Hu-1
BD55-1035,Omicron BA.2/BA.5
BD55-1035,Wuhan-Hu-1
BD55-1036,Omicron BA.2/BA.5
BD55-1036,Wuhan-Hu-1
BD55-1038,Omicron BA.2/BA.5
BD55-1038,Wuhan-Hu-1
BD55-1039,Omicron BA.2/BA.5
BD55-1039,Wuhan-Hu-1
BD55-1041,Omicron BA.2/BA.5
BD55-1041,Wuhan-Hu-1
BD55-1049,Omicron BA.2/BA.5
BD55-1049,Wuhan-Hu-1
BD55-1051,Omicron BA.2/BA.5
BD55-1051,Wuhan-Hu-1
BD55-1061,Omicron BA.2/BA.5
BD55-1061,Wuhan-Hu-1
BD55-1064,Omicron BA.2/BA.5
BD55-1064,Wuhan-Hu-1
BD55-1065,Omicron BA.2/BA.5
BD55-1065,Wuhan-Hu-1
BD55-1066,Omicron BA.2/BA.5
BD55-1066,Wuhan-Hu-1
BD55-1070,Omicron BA.2/BA.5
BD55-1070,Wuhan-Hu-1
BD55-1073,Omicron BA.2/BA.5
BD55-1073,Wuhan-Hu-1
BD55-1075,Omicron BA.2/BA.5
BD55-1075,Wuhan-Hu-1
BD55-1078,Omicron BA.2/BA.5
BD55-1078,Wuhan-Hu-1
BD55-1084,Omicron BA.2/BA.5
BD55-1084,Wuhan-Hu-1
BD55-1087,Omicron BA.2/BA.5
